"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Max Scherzer","Nationals","10","5","0","18","18","120.2","12.98","2.24","0.75",".259","81.6 %","35.2 %","8.1 %","2.16","2.22","2.82","4.6","3137"
"Trevor Bauer","Indians","8","6","0","18","18","121.1","11.57","2.74","0.37",".307","75.0 %","44.9 %","4.9 %","2.45","2.16","3.00","4.6","12703"
"Chris Sale","Red Sox","9","4","0","19","19","122.0","12.98","2.21","0.74",".273","80.8 %","44.2 %","10.3 %","2.36","2.25","2.49","4.5","10603"
"Luis Severino","Yankees","13","2","0","18","18","118.1","10.50","2.21","0.46",".272","82.6 %","45.6 %","6.3 %","1.98","2.25","2.90","4.4","15890"
"Justin Verlander","Astros","9","4","0","19","19","125.2","11.03","1.72","0.86",".242","84.0 %","28.6 %","7.4 %","2.15","2.62","3.50","4.2","8700"
"Jacob deGrom","Mets","5","4","0","18","18","115.1","11.08","2.26","0.55",".287","85.2 %","46.7 %","8.9 %","1.79","2.32","2.65","4.1","10954"
"Aaron Nola","Phillies","11","2","0","18","18","116.0","9.00","2.56","0.47",".269","80.1 %","50.5 %","6.9 %","2.41","2.71","3.27","3.6","16149"
"Patrick Corbin","Diamondbacks","6","3","0","18","18","112.0","11.25","2.41","0.88",".277","77.5 %","46.8 %","14.1 %","3.05","2.77","2.63","3.1","9323"
"Gerrit Cole","Astros","9","2","0","18","18","116.2","12.19","2.93","1.08",".253","81.3 %","35.6 %","12.7 %","2.70","3.07","3.05","3.0","13125"
"James Paxton","Mariners","8","2","0","18","18","111.2","11.69","2.58","1.05",".289","76.6 %","38.2 %","11.9 %","3.39","2.91","3.00","3.0","11828"
"Mike Clevinger","Indians","7","3","0","17","17","110.0","8.10","2.95","0.57",".298","76.7 %","43.0 %","6.2 %","3.11","3.17","4.03","2.7","12808"
"Corey Kluber","Indians","12","4","0","18","18","119.1","9.05","0.98","1.28",".245","83.7 %","47.2 %","17.3 %","2.64","3.30","2.80","2.7","2429"
"Jon Gray","Rockies","7","7","0","17","17","92.0","11.64","2.84","1.08",".386","63.1 %","45.9 %","15.5 %","5.77","3.09","2.80","2.5","14916"
"Miles Mikolas","Cardinals","9","3","0","17","17","109.1","6.17","1.40","0.66",".262","77.5 %","50.1 %","8.7 %","2.63","3.27","3.69","2.3","9803"
"Marco Gonzales","Mariners","9","5","0","18","18","106.1","7.96","1.86","0.85",".322","74.4 %","46.0 %","11.5 %","3.64","3.33","3.44","2.2","15467"
"Lance McCullers Jr.","Astros","10","3","0","18","18","108.1","9.80","3.16","0.83",".272","72.1 %","55.8 %","13.9 %","3.41","3.32","3.21","2.2","14120"
"Tyler Skaggs","Angels","6","5","0","16","16","92.0","9.78","2.64","0.78",".320","81.9 %","47.0 %","9.9 %","2.64","3.05","3.36","2.2","10190"
"Mike Foltynewicz","Braves","6","5","0","17","17","95.0","10.80","3.79","0.76",".256","81.6 %","42.8 %","9.9 %","2.37","3.16","3.46","2.2","10811"
"J.A. Happ","Blue Jays","10","4","0","17","17","102.2","9.64","2.45","1.23",".273","69.8 %","44.4 %","12.5 %","4.03","3.65","3.66","2.1","7410"
"Charlie Morton","Astros","10","2","0","17","17","102.1","11.70","3.61","0.97",".273","84.7 %","50.4 %","17.2 %","2.55","3.40","3.03","2.1","4676"
"Blake Snell","Rays","11","4","0","18","18","108.2","10.19","3.40","0.99",".225","87.1 %","41.4 %","11.8 %","2.24","3.44","3.54","2.0","13543"
