"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Trevor Bauer","Indians","11.57","2.74","4.22","0.37","31.3 %","7.4 %","23.9 %",".209","1.09",".307","75.0 %","58","52","73","2.45","2.16","0.29","3.00","3.04","12703"
"Max Scherzer","Nationals","12.98","2.24","5.80","0.75","36.9 %","6.4 %","30.5 %",".172","0.87",".259","81.6 %","53","56","70","2.16","2.22","-0.06","2.82","2.46","3137"
"Luis Severino","Yankees","10.50","2.21","4.76","0.46","30.1 %","6.3 %","23.8 %",".194","0.95",".272","82.6 %","47","52","70","1.98","2.25","-0.27","2.90","3.02","15890"
"Chris Sale","Red Sox","12.98","2.21","5.87","0.74","36.8 %","6.3 %","30.5 %",".180","0.89",".273","80.8 %","55","55","60","2.36","2.25","0.11","2.49","2.42","10603"
"Jacob deGrom","Mets","11.08","2.26","4.90","0.55","31.2 %","6.4 %","24.8 %",".202","0.99",".287","85.2 %","47","58","66","1.79","2.32","-0.53","2.65","2.87","10954"
"Justin Verlander","Astros","11.03","1.72","6.42","0.86","31.8 %","5.0 %","26.8 %",".180","0.84",".242","84.0 %","54","64","85","2.15","2.62","-0.47","3.50","2.97","8700"
"Aaron Nola","Phillies","9.00","2.56","3.52","0.47","25.5 %","7.3 %","18.2 %",".205","1.03",".269","80.1 %","60","65","81","2.41","2.71","-0.31","3.27","3.50","16149"
"Patrick Corbin","Diamondbacks","11.25","2.41","4.67","0.88","31.5 %","6.8 %","24.8 %",".202","1.01",".277","77.5 %","76","68","65","3.05","2.77","0.28","2.63","2.88","9323"
"James Paxton","Mariners","11.69","2.58","4.53","1.05","32.4 %","7.2 %","25.3 %",".210","1.07",".289","76.6 %","85","72","72","3.39","2.91","0.47","3.00","2.94","11828"
"Tyler Skaggs","Angels","9.78","2.64","3.70","0.78","26.4 %","7.1 %","19.3 %",".244","1.22",".320","81.9 %","66","75","81","2.64","3.05","-0.40","3.36","3.46","10190"
"Gerrit Cole","Astros","12.19","2.93","4.16","1.08","34.7 %","8.3 %","26.3 %",".182","0.97",".253","81.3 %","67","75","74","2.70","3.07","-0.37","3.05","2.87","13125"
"Jon Gray","Rockies","11.64","2.84","4.10","1.08","28.9 %","7.0 %","21.8 %",".283","1.49",".386","63.1 %","124","72","69","5.77","3.09","2.68","2.80","3.17","14916"
"Mike Foltynewicz","Braves","10.80","3.79","2.85","0.76","29.4 %","10.3 %","19.1 %",".188","1.11",".256","81.6 %","59","79","86","2.37","3.16","-0.79","3.46","3.60","10811"
"Mike Clevinger","Indians","8.10","2.95","2.75","0.57","22.2 %","8.1 %","14.1 %",".238","1.21",".298","76.7 %","73","77","97","3.11","3.17","-0.07","4.03","4.11","12808"
"Miles Mikolas","Cardinals","6.17","1.40","4.41","0.66","17.1 %","3.9 %","13.2 %",".229","1.03",".262","77.5 %","67","82","91","2.63","3.27","-0.63","3.69","3.96","9803"
"Corey Kluber","Indians","9.05","0.98","9.23","1.28","26.5 %","2.9 %","23.6 %",".207","0.87",".245","83.7 %","62","80","68","2.64","3.30","-0.66","2.80","2.97","2429"
"Lance McCullers Jr.","Astros","9.80","3.16","3.11","0.83","27.1 %","8.7 %","18.4 %",".209","1.11",".272","72.1 %","85","81","78","3.41","3.32","0.08","3.21","3.41","14120"
"Marco Gonzales","Mariners","7.96","1.86","4.27","0.85","21.6 %","5.1 %","16.6 %",".265","1.22",".322","74.4 %","91","82","83","3.64","3.33","0.31","3.44","3.68","15467"
"Alex Wood","Dodgers","8.07","1.54","5.25","1.06","21.8 %","4.2 %","17.6 %",".249","1.15",".296","67.3 %","100","85","84","3.84","3.39","0.46","3.40","3.62","13781"
